image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x941 at 0x178C1765F30>,the internal gas and enhancing rim suggests what type of lesion?,abcess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178C1765FC0>,what kind of image is this?,chest x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x941 at 0x178C1766050>,what type of hepatic lesion has internal gas and enhancing rim?,abcess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x178C17660E0>,"what does tram-track""-ing indictate?""",bronchiectasis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1156 at 0x178C1766170>,what is meant by tram-track?,thickening of bronchi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x178C1766200>,is there hyperinflation of the lung(s)?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x178C1766290>,are the lungs increased in size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1766320>,is there an aortic aneurysm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17663B0>,can an aortic aneurysm be appreciated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178C1766440>,how can you tell if contrast has been utilized?,csf is brightly lit
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x178C17664D0>,what are the signs of contrast being used?,aorta enhancement
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x178C1766560>,is mass effect obvious?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x178C17665F0>,is this a normal image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=388x542 at 0x178C1766680>,does there seem to be a mass effect?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1766710>,the dark space in the central portion of the image represents what structure(s)?,lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17667A0>,what do the dark spaces in the center show?,lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178C1766830>,is there a midline shift?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178C17668C0>,is the trachea shifted?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x178C1766950>,what indicates a pleural effusion?,costophrenic angle blunting
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x178C17669E0>,what is a pleural effusion,fluid in the pleural space
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x178C1766A70>,how can you confirm contrast was used?,aorta is bright
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x178C1766B00>,how do you know if contrast was used?,enhancement of vessels
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1766B90>,is the vertebra fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x178C1766C20>,is the brain scan normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1766CB0>,is there a vertebral fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x178C1766D40>,which way is the trachea deviating in this image?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x178C1766DD0>,is the trachea deviated to the right or left?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1766E60>,do you suspect vascular process or a genetic process?,genetic
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1766EF0>,is the etiology genetic or vascular?,vascular
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x178C1766F80>,what shape would the lesion be if this were a subdural hematoma?,crescent
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x178C1767010>,what shape is the lesion in a subdural hematoma?,concave
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x941 at 0x178C17670A0>,can this patient be managed with medical therapy alone?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x941 at 0x178C1767130>,will medical therapy be enough?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1159 at 0x178C17671C0>,what is the pathology?,hydropneumothorax
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x178C1767250>,what organ is enlarged?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1159 at 0x178C17672E0>,what is abnormal in this image?,hydropneumothorax
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x178C1767370>,what vascular territory is the lesion?,right mca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x178C1767400>,in what vascular territory is the lesion located?,right mca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x178C1767490>,is this a vascular lesion,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x178C1767520>,does this lesion involve the vascular system?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178C17675B0>,what is the foreign body?,a catheter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178C1767640>,please identify the foreign body.,a catheter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x765 at 0x178C17676D0>,is there wall enhancement of the gb?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x765 at 0x178C1767760>,is the gallbladder wall enhanced by contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=630x768 at 0x178C17677F0>,are the lymph nodes enlarged,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x385 at 0x178C1767880>,which organ has the abnormality?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=630x768 at 0x178C1767910>,is there hilar lymphadenopathy?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x178C17679A0>,what neuro deficits will are predicted by image location?,"quadrantopia, aphasia, memory deficit, etc."
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x178C1767A30>,what deficits are suggested by the location of the lesion?,"motor weakness, sensory deficits, and left neglect"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1118 at 0x178C1767AC0>,is this a tension pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1118 at 0x178C1767B50>,does this image show a tension pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x178C1767BE0>,what is the most likely etiology,viral/inflammatory
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x178C1767C70>,what is most likely causing these lesions?,cva
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x454 at 0x178C1767D00>,where is the pathology?,in the cortex and basal ganglia bilaterally
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x454 at 0x178C1767D90>,where is the pathology located?,in the cortex and basal ganglia bilaterally
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C1767E20>,is there a pancreatic pseudocsyst?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x178C1767EB0>,where is the cavitary lesion?,right upper lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C1767F40>,is there a pseudocyst in the pancreas?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1118 at 0x178C1767FD0>,is there tracheal deviation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1118 at 0x178C17D80A0>,is the trachea deviated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1187 at 0x178C17D8130>,what is the pathology,left lobe mass 1.5 x 1.8 cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1187 at 0x178C17D81C0>,what is abnormal in this image?,left lobe mass 1.5 x 1.8 cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x178C17D8250>,how can you tell the mass is hemorrhagic and pushing the optic chiasm?,not sure
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x178C17D82E0>,where is the mass?,pituitary fossa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D8370>,what is the hypodensity on the posteriolateral edge of the left kidney?,nephroblastomatosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D8400>,what is seen in the posterolateral l kidney?,nephroblastomatosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x178C17D8490>,how can you tell that one side is small bowen and the other side is large bowel?,location of the contrast?
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x178C17D8520>,where is the abnormality?,right upper lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x178C17D85B0>,how do you know that small bowel and colon are on different sides of midline?,haustra
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x178C17D8640>,would you expect pleural plaques on other pleural surfaces vs just the hemithoraces?,not sure
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x178C17D86D0>,do you expect the patient to have plaques on other pleura as well?,maybe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D8760>,what are the white nodules on bilateral kidneys?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D87F0>,what are the hyperintensities seen in the bilateral kidneys?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x178C17D8880>,what symptoms would this patient present with?,"ruq pain, jaundice,weight loss?"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x178C17D8910>,what did the patient likely complain of?,abdominal pain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x178C17D89A0>,what are the densities in both mid-lung fields?,pleural plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x178C17D8A30>,what do the densities in the lung fields represent?,pleural plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x178C17D8AC0>,what are defining radiological features of large bowel?,air?
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D8B50>,is the abnormality hyper dense or hypo dense?,hypodense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x178C17D8BE0>,how do you distinguish large bowel?,haustra
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x178C17D8C70>,how can you tell if it�s the common bile duct vs the cystic duct?,trace the gallbladder emptying?
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x178C17D8D00>,what differentiates the common bile duct and cystic duct?,cystic duct is more tortuous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x178C17D8D90>,what are common causes of cystic and cbd obstruction?,"tumors, gallstones"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x178C17D8E20>,what can cause these findings on imaging?,"stones, cancer, infection, anatomic variants"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x178C17D8EB0>,is gray or white matter highlighted in this image?,gray matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x178C17D8F40>,"which is highlighted in this image, white or gray matter?",gray matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x178C17D8FD0>,what lung are the pulmonary nodules in?,bilateral lungs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x178C17D9060>,where are the nodules located?,bilateral lungs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x178C17D90F0>,do the two findings have the same etiology?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D9180>,what density is the abnormality?,hypodense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x178C17D9210>,is there a unified process?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x178C17D92A0>,what are defining radiological features of the small bowel?,not sure
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x178C17D9330>,how do you identify small bowel?,plicae circulares
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x178C17D93C0>,are there any abnormalities with the shape of the aortic arch?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x1176 at 0x178C17D9450>,is the aortic arch shape abnormal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C17D94E0>,why does less enhancement mean less acute?,more acute means more inflammation-leading to enhancement?
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C17D9570>,what makes a lesion less acute?,less enhancement
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x178C17D9600>,how do you know this is a t2 weighted image?,csf is white.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x178C17D9690>,what tells you that the image is t2?,white versus grey matter brightness
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x178C17D9720>,what are the lesions indicative of?,adenopathy
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178C17D97B0>,is this an anterior posterior image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D9840>,what part of the liver is the mass located in?,left hepatic lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x178C17D98D0>,what are the lesions consistent with?,infection
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C17D9960>,is this an infectious process?,maybe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C17D99F0>,does this represent infectious process?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x178C17D9A80>,where are the lesions located?,paratracheal area
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x178C17D9B10>,where are the lesions?,paratracheal area
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D9BA0>,how common is bilateral wilms?,not sure.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D9C30>,about how often do you see bilateral wilms tumor?,5%
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x178C17D9CC0>,how would you describe the pathology seen in the above image?,"rounded, well-defined pulmonary nodules varying in size and pattern"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x178C17D9D50>,what is the pathology seen in this image?,pulmonary nodules
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x178C17D9DE0>,what is the pathology seen above?,bilateral pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17D9E70>,where is the mass in the liver?,left hepatic lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x178C17D9F00>,what abnormality is seen in this image?,bilateral pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x178C17D9F90>,is the patient's heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x178C17DA020>,does the heart look enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178C17DA0B0>,is there any bleeding in this patient's brain?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178C17DA140>,is there bleeding present in this patient's brain?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x178C17DA1D0>,what brain structures would be affected by the lesion in the right frontal area of the brain?,basal ganglia (caudate and putamen)
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x178C17DA260>,which brain structures could be affected by the lesion located in the right frontal brain area?,basal ganglia (caudate and putamen)
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x178C17DA2F0>,where do we see multiple infarcts in the above image?,cerebellum
